modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,flares,flares_value
B,X,O,1,2,1,1,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,A,X,1,2,1,1,2,1,1,common flares,0
C,A,O,1,2,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
H,A,X,1,3,1,1,2,1,1,common flares,0
E,A,O,1,3,1,2,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
C,A,O,1,2,1,2,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
H,R,X,1,1,1,1,2,1,1,common flares,1
H,S,X,1,1,1,1,2,1,1,common flares,0
C,S,I,1,3,1,1,2,1,1,common flares,1
H,A,X,1,3,1,2,1,1,1,common flares,0
B,X,I,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
B,X,O,2,2,1,2,2,1,1,common flares,2
C,S,O,1,2,1,1,2,1,1,common flares,0
C,A,O,1,3,1,2,2,1,1,common flares,0
B,X,O,2,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
C,S,O,2,2,1,1,2,1,1,common flares,0
H,A,X,1,2,1,2,2,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
H,A,X,1,2,1,2,2,1,1,common flares,0
H,H,X,1,3,1,1,2,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
H,R,X,1,1,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,1
C,R,O,1,3,1,1,2,1,1,common flares,0
H,A,X,1,3,1,2,2,1,1,common flares,0
H,H,X,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,1
C,R,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,1,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
C,S,O,2,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,1
C,S,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
C,S,O,2,3,1,1,2,1,1,common flares,0
B,X,O,2,3,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
H,A,X,1,3,1,1,1,1,1,common flares,0
H,A,X,1,3,1,1,1,1,1,common flares,0
H,A,X,1,2,1,1,1,1,1,common flares,0
H,A,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,2,2,1,1,common flares,2
H,S,X,1,2,1,1,2,1,1,common flares,0
D,R,O,1,2,1,1,2,1,1,common flares,1
D,A,I,1,3,1,1,2,1,1,common flares,0
C,A,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,2,2,1,1,common flares,3
H,S,X,1,2,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,2,2,1,1,common flares,0
C,A,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,2
D,H,O,1,3,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
C,R,O,2,2,1,1,2,1,1,common flares,0
D,S,O,2,2,2,2,2,1,1,common flares,1
C,R,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,3
F,A,I,1,3,1,1,2,1,1,common flares,0
E,S,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
D,R,O,1,2,1,1,2,1,1,common flares,0
C,S,O,2,2,3,2,2,1,1,common flares,0
H,S,X,1,1,1,1,2,1,1,common flares,0
D,S,O,1,1,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
D,A,I,2,3,1,1,2,1,1,common flares,3
C,A,O,1,3,1,2,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,1,2,2,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
D,K,I,2,3,1,2,2,1,1,common flares,2
E,A,I,1,3,1,2,2,1,1,common flares,3
H,S,X,1,2,1,2,1,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,2,2,1,1,common flares,0
C,S,O,1,2,1,1,2,1,1,common flares,0
C,S,O,1,2,1,1,2,1,1,common flares,0
D,K,I,2,3,1,2,2,1,1,common flares,0
E,A,I,1,2,1,2,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,1
H,S,X,1,2,1,1,2,1,1,common flares,0
H,R,X,1,1,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,2,1,1,common flares,0
H,S,X,1,1,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
D,A,I,2,2,1,2,2,1,1,common flares,1
D,S,I,2,3,1,2,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,2
H,S,X,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,1,1,1,2,1,1,common flares,0
D,S,O,1,2,1,2,2,1,1,common flares,3
D,S,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
E,S,O,2,3,3,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
D,K,I,2,2,1,2,2,1,1,common flares,3
C,S,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,1,common flares,1
C,S,O,2,2,2,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
D,K,I,2,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
D,A,I,1,3,1,2,2,1,1,common flares,0
C,S,O,1,2,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
E,A,O,1,2,1,2,2,1,1,common flares,0
C,S,O,1,1,1,2,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
H,R,X,1,2,1,1,2,1,1,common flares,0
E,A,C,2,2,1,2,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,1,common flares,0
E,S,I,1,3,1,1,2,1,1,common flares,0
D,S,I,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
C,A,O,2,2,3,2,2,1,1,common flares,0
C,S,O,1,3,1,2,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
H,R,X,1,3,1,1,2,1,1,common flares,0
E,A,I,1,2,1,2,2,1,1,common flares,0
D,K,I,1,3,1,2,2,1,1,common flares,1
D,A,O,1,3,1,2,2,1,1,common flares,0
E,K,I,1,3,1,2,2,2,1,common flares,0
D,K,I,1,3,1,2,2,1,1,common flares,0
H,R,X,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
C,A,O,1,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
D,K,I,2,2,1,2,2,1,1,common flares,0
B,X,O,1,2,1,2,2,1,1,common flares,0
E,K,I,1,2,1,2,2,1,1,common flares,1
D,K,I,1,3,1,2,2,1,1,common flares,1
H,R,X,1,3,1,1,2,1,1,common flares,1
H,S,X,1,3,1,1,1,1,1,common flares,0
H,S,X,1,1,1,2,2,1,1,common flares,0
H,S,X,1,3,1,2,1,1,1,common flares,0
D,A,I,1,2,1,2,2,1,1,common flares,0
F,K,C,1,2,1,2,2,2,1,common flares,0
E,K,C,2,3,1,2,2,2,1,common flares,0
D,A,I,1,3,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
D,A,I,1,2,1,2,2,1,1,common flares,1
E,K,C,2,2,3,2,2,2,1,common flares,0
F,K,C,1,3,1,2,2,2,1,common flares,0
D,K,C,2,3,1,2,2,2,1,common flares,1
C,S,I,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
D,S,O,1,1,1,2,2,1,1,common flares,0
E,K,C,2,3,3,2,2,2,1,common flares,1
F,K,I,1,2,1,2,2,2,1,common flares,0
E,K,C,2,3,3,2,2,2,1,common flares,0
C,R,I,1,2,1,1,2,1,1,common flares,0
B,S,O,1,3,1,1,2,1,1,common flares,0
D,A,O,1,3,1,2,2,1,1,common flares,1
C,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
C,R,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
H,S,X,2,2,1,2,2,1,1,common flares,0
E,K,C,2,2,3,2,2,2,1,common flares,2
E,K,I,1,3,1,2,2,2,1,common flares,1
E,K,C,2,2,3,2,2,2,1,common flares,0
B,S,O,1,2,1,1,2,1,1,common flares,0
E,A,I,1,3,1,2,2,1,1,common flares,0
D,R,I,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,2,2,1,1,common flares,0
E,K,C,2,2,2,2,2,2,1,common flares,4
E,A,I,1,2,1,2,2,1,1,common flares,3
H,S,X,1,2,1,1,2,1,1,common flares,0
E,A,O,2,2,1,2,2,1,1,common flares,0
D,R,I,1,3,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,R,X,1,3,1,1,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,1,1,1,common flares,0
E,K,C,2,2,2,2,2,2,1,common flares,0
F,S,I,2,2,1,2,2,1,1,common flares,2
D,S,I,1,3,1,1,2,1,1,common flares,1
H,S,X,1,3,1,1,2,1,1,common flares,0
D,S,O,1,3,1,2,2,1,1,common flares,0
D,A,I,1,2,1,2,2,1,1,common flares,0
H,A,X,1,3,1,1,1,1,1,common flares,0
D,S,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,2,1,1,1,common flares,0
E,K,C,2,3,1,2,2,2,1,common flares,2
F,A,I,2,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,1,common flares,0
D,A,I,1,2,1,2,2,1,1,common flares,0
H,A,X,1,2,1,1,1,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
D,A,O,1,3,1,1,2,1,1,common flares,0
D,H,O,1,3,1,2,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,2
E,K,C,2,2,1,2,2,1,1,common flares,0
F,A,I,1,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,1,common flares,0
D,A,I,1,1,1,2,2,1,1,common flares,1
H,A,X,1,2,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
D,A,O,1,2,1,1,2,1,1,common flares,0
D,H,O,1,3,1,2,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,1,1,2,2,1,1,common flares,0
F,S,I,1,3,1,2,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,1,common flares,0
B,X,I,1,2,1,1,2,1,1,common flares,0
D,H,O,1,2,1,2,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
D,A,I,2,3,2,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,1
C,R,O,1,2,1,1,2,1,1,common flares,0
D,H,O,1,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,1,2,1,1,common flares,0
E,A,I,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,1
C,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
D,S,O,1,3,1,2,2,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
E,A,O,1,2,1,2,2,1,1,common flares,4
H,S,X,1,3,1,1,1,1,1,common flares,1
H,S,X,1,3,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,1
D,H,O,1,3,1,2,2,1,1,common flares,0
E,A,I,2,2,1,2,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,1,1,1,1,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,2,1,1,common flares,1
D,S,O,1,2,1,2,2,1,1,common flares,0
H,S,X,1,2,2,2,2,1,1,common flares,0
H,S,X,2,2,1,1,2,1,1,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,1,common flares,0
H,S,X,2,2,1,1,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,1,common flares,0
H,R,X,1,2,1,1,2,1,1,common flares,0
B,X,O,1,1,1,1,2,1,1,common flares,0
C,S,O,1,2,1,1,2,1,2,moderate flares,0
D,S,O,1,3,1,1,2,1,2,moderate flares,0
C,S,O,1,3,1,1,2,1,1,moderate flares,0
D,S,O,1,3,1,1,2,1,2,moderate flares,0
D,A,O,1,3,1,1,2,1,2,moderate flares,0
D,A,O,1,2,1,1,2,1,2,moderate flares,0
D,A,O,1,2,1,1,2,1,1,moderate flares,0
D,A,O,1,2,1,1,2,1,2,moderate flares,0
D,K,O,1,3,1,1,2,1,2,moderate flares,0
C,R,O,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,S,O,1,2,1,1,2,1,1,moderate flares,0
C,H,I,1,3,1,1,2,1,2,moderate flares,0
D,R,O,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,K,I,1,3,1,1,2,1,2,moderate flares,0
D,S,O,1,2,1,1,2,1,2,moderate flares,0
D,R,O,1,2,1,1,2,1,1,moderate flares,0
C,A,I,1,2,1,1,2,1,2,moderate flares,0
C,S,O,1,2,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
F,K,I,1,3,1,2,2,1,2,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
H,R,X,1,2,1,1,1,1,2,moderate flares,0
B,X,I,1,3,1,1,2,1,1,moderate flares,0
C,R,I,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,2,moderate flares,0
D,A,I,1,3,1,2,2,1,2,moderate flares,0
D,A,O,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,A,I,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,2,moderate flares,0
D,R,O,1,3,1,1,2,1,2,moderate flares,0
D,A,O,1,2,1,1,2,1,1,moderate flares,0
C,A,I,1,3,1,1,2,1,1,moderate flares,0
D,A,I,1,2,1,2,2,1,1,moderate flares,0
D,A,I,2,2,3,1,2,1,2,moderate flares,0
D,A,I,1,2,1,2,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,R,O,1,1,1,1,2,1,1,moderate flares,0
D,A,I,1,2,1,1,2,1,1,moderate flares,0
D,S,O,1,1,1,1,2,1,1,moderate flares,0
D,S,I,1,3,1,1,2,1,1,moderate flares,0
D,A,I,1,3,1,2,2,1,2,moderate flares,10
D,A,I,2,3,1,2,2,1,1,moderate flares,0
D,A,I,1,2,1,2,2,1,1,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
D,S,O,1,3,1,2,2,1,2,moderate flares,0
D,S,O,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,A,O,1,3,1,2,2,1,2,moderate flares,0
D,K,C,2,3,1,2,2,1,2,moderate flares,10
D,A,I,1,3,1,2,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,A,O,1,3,1,2,2,1,2,moderate flares,0
D,S,I,1,3,1,1,2,1,1,moderate flares,0
D,K,C,1,2,1,1,2,1,2,moderate flares,0
D,A,I,1,2,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,S,O,1,2,1,2,2,1,2,moderate flares,0
D,K,C,2,3,3,2,2,1,2,moderate flares,20
E,K,I,2,3,1,2,2,1,2,moderate flares,0
D,S,I,1,3,1,2,2,1,2,moderate flares,0
C,S,O,1,2,1,2,2,1,2,moderate flares,0
D,S,I,1,3,1,2,2,1,2,moderate flares,0
H,H,X,1,2,1,2,2,1,1,moderate flares,0
D,S,I,1,3,1,2,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
C,R,O,1,3,1,1,2,1,1,moderate flares,0
H,S,X,1,2,1,1,1,1,2,moderate flares,0
D,A,O,1,2,1,2,2,1,2,moderate flares,0
D,K,C,2,2,3,2,2,1,2,moderate flares,0
D,K,I,1,3,1,2,2,1,2,moderate flares,20
D,S,I,1,2,1,2,2,1,1,moderate flares,10
C,A,O,1,2,1,2,2,1,2,moderate flares,0
D,S,O,1,1,1,2,2,1,2,moderate flares,0
H,S,X,1,3,1,2,2,1,2,moderate flares,0
D,K,I,1,3,1,2,2,1,2,moderate flares,0
H,R,X,1,2,1,1,2,1,2,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
H,S,X,1,3,1,1,1,1,2,moderate flares,0
C,S,O,1,1,1,2,2,1,2,moderate flares,0
D,K,C,2,2,3,2,2,1,2,moderate flares,0
D,A,I,1,2,1,2,2,1,2,moderate flares,0
C,S,O,2,2,1,2,2,1,1,moderate flares,0
C,S,O,1,2,1,2,2,1,2,moderate flares,0
C,S,O,1,2,1,2,2,1,2,moderate flares,0
C,S,O,2,3,1,2,2,1,2,moderate flares,0
D,K,I,1,3,1,2,2,1,2,moderate flares,10
H,R,X,1,2,1,1,2,1,2,moderate flares,0
H,S,X,1,3,1,1,1,1,2,moderate flares,0
C,S,O,1,2,1,1,2,1,2,moderate flares,0
C,K,O,1,2,3,2,2,1,2,moderate flares,0
C,S,O,1,1,3,2,2,1,2,moderate flares,0
C,S,O,1,1,1,2,2,1,2,moderate flares,0
C,K,I,1,3,1,2,2,1,2,moderate flares,0
E,A,C,1,3,1,2,2,1,2,moderate flares,0
H,R,X,1,2,1,1,2,1,2,moderate flares,0
H,S,X,1,2,1,1,1,1,2,moderate flares,0
H,R,X,1,2,1,1,2,1,2,moderate flares,0
H,S,X,2,2,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,2,moderate flares,0
C,S,I,1,2,1,2,2,1,2,moderate flares,0
H,S,X,1,1,1,2,2,1,2,moderate flares,0
D,K,C,1,3,3,2,2,1,2,moderate flares,10
D,A,I,2,2,3,2,2,1,2,moderate flares,0
H,S,X,1,2,1,1,2,1,2,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
C,S,I,2,3,3,1,2,1,1,moderate flares,10
C,S,O,1,1,1,1,2,1,2,moderate flares,10
H,K,X,2,2,3,2,2,1,2,moderate flares,0
D,K,I,1,3,1,2,2,1,2,moderate flares,0
H,A,X,1,3,1,1,2,1,2,moderate flares,0
C,R,O,1,1,1,1,2,1,2,moderate flares,0
C,R,O,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
H,K,X,1,3,1,2,2,1,2,moderate flares,0
C,K,I,1,3,1,2,2,1,2,moderate flares,0
H,S,X,1,2,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
C,R,I,2,3,3,1,2,1,2,moderate flares,0
H,R,X,1,2,3,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
D,R,O,1,3,1,1,2,1,2,moderate flares,0
H,K,X,1,2,1,2,2,1,2,moderate flares,0
D,K,I,1,2,1,2,2,1,2,moderate flares,0
H,H,X,1,3,1,1,2,1,2,moderate flares,0
B,X,I,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
B,X,I,1,3,1,1,2,1,1,moderate flares,0
D,R,O,2,2,1,1,2,1,2,moderate flares,0
H,A,X,1,3,1,2,2,1,2,moderate flares,0
C,K,O,1,2,1,2,2,1,2,moderate flares,0
H,S,X,1,2,1,1,2,1,2,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
C,R,O,1,3,1,1,2,1,1,moderate flares,0
B,X,I,1,3,1,1,2,1,1,moderate flares,0
C,A,O,1,3,1,2,2,1,2,moderate flares,0
C,K,I,1,2,1,2,2,1,2,moderate flares,0
H,S,X,1,2,1,1,2,1,2,moderate flares,0
D,S,I,1,3,1,1,2,1,1,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
B,X,O,2,2,1,1,2,1,1,moderate flares,0
H,S,X,1,2,1,1,1,1,2,moderate flares,0
H,A,X,1,3,1,1,2,1,2,moderate flares,0
C,K,I,1,3,1,2,2,1,2,moderate flares,40
B,X,O,1,3,1,1,2,1,2,moderate flares,0
H,S,X,1,3,1,1,1,1,2,moderate flares,0
C,S,O,1,3,1,1,2,1,2,moderate flares,10
C,A,I,1,3,1,1,2,1,2,moderate flares,0
H,S,X,1,3,1,1,1,1,2,moderate flares,0
D,S,O,1,3,1,1,2,1,2,moderate flares,0
C,S,O,1,2,3,2,2,1,2,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
H,S,X,1,2,1,1,1,1,2,moderate flares,0
C,S,O,1,3,1,1,2,1,2,moderate flares,0
C,S,O,1,3,1,1,2,1,2,moderate flares,0
H,A,X,1,3,1,1,1,1,2,moderate flares,0
B,X,O,2,1,1,1,2,1,1,moderate flares,0
H,R,X,1,2,1,1,1,1,2,moderate flares,0
C,S,O,2,2,1,2,2,1,2,moderate flares,10
H,S,X,1,3,1,1,1,1,2,moderate flares,0
H,S,X,2,2,3,1,2,1,2,moderate flares,0
C,S,O,1,2,1,1,2,1,2,moderate flares,0
C,A,I,1,3,1,1,2,1,2,moderate flares,0
E,S,I,1,3,1,1,2,1,2,moderate flares,20
B,X,O,1,2,1,1,2,1,1,moderate flares,0
D,S,O,1,2,1,1,2,1,2,moderate flares,0
C,S,O,1,1,1,2,2,1,2,moderate flares,0
C,S,O,1,2,1,1,2,1,2,moderate flares,0
H,S,X,1,1,1,1,2,1,2,moderate flares,0
C,S,O,1,2,1,1,2,1,2,moderate flares,0
C,S,I,2,2,1,1,2,1,2,moderate flares,0
D,S,O,1,2,1,2,2,1,2,moderate flares,40
D,S,O,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,2,moderate flares,0
C,A,O,1,3,1,1,2,1,2,moderate flares,0
C,S,O,1,3,1,1,2,1,2,moderate flares,0
C,R,I,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,2,3,2,2,1,2,moderate flares,0
B,X,I,2,3,1,1,2,1,2,moderate flares,0
D,H,O,1,2,1,1,2,1,2,moderate flares,0
H,S,X,1,1,1,1,2,1,2,moderate flares,0
H,R,X,1,2,1,1,2,1,2,moderate flares,0
H,A,X,1,2,1,1,2,1,2,moderate flares,0
C,R,I,1,2,1,1,2,1,2,moderate flares,0
C,R,O,2,1,1,1,2,1,2,moderate flares,0
D,K,O,1,3,1,1,2,1,2,moderate flares,0
D,R,O,1,2,1,1,2,1,2,moderate flares,0
H,S,X,1,2,1,1,2,1,2,moderate flares,0
B,X,O,1,2,1,1,2,1,1,moderate flares,0
B,X,I,1,3,1,1,2,1,2,moderate flares,0
B,X,O,1,3,1,1,2,1,1,moderate flares,0
C,S,O,1,3,1,1,2,1,2,moderate flares,10
